x,y,timestamp,pen_status
34692.91094446182,29288.741653442383,0.0,1.0
34649.374262839556,29255.204837799072,0.0,1.0
34711.20986777544,29302.83783721924,0.0,1.0
34623.5996773839,29235.35004425049,0.0,1.0
34650.25658643246,29255.88335800171,0.0,1.0
34677.08004954457,29276.547382354736,0.0,1.0
34641.17457228899,29248.886669158936,0.0,1.0
34631.939768880606,29241.77248764038,0.0,1.0
34584.46773132682,29205.204360961914,0.0,1.0
34663.334521621466,29265.9598236084,0.0,1.0
34587.593717098236,29207.611492156982,0.0,1.0
34618.13367584348,29231.136463165283,0.0,1.0
34640.13670647144,29248.087718963623,0.0,1.0
34664.49764710665,29266.854236602783,0.0,1.0
34615.21140909195,29228.886478424072,0.0,1.0
34616.49428832531,29229.874885559082,0.0,1.0
34129.7751378119,29872.577445983887,0.0,1.0
34666.85142767429,29268.66656112671,0.0,1.0
34631.46625980735,29241.409729003906,0.0,1.0
34608.89749595523,29224.02228164673,0.0,1.0
34597.187781751156,29215.001781463623,0.0,1.0
34623.497817873955,29235.26926803589,0.0,1.0
34756.16845309734,29297.668159484863,0.0,1.0
34664.116362184286,29266.56050491333,0.0,1.0
34631.073963046074,29241.105716705322,0.0,1.0
34663.344156980515,29265.965698242188,0.0,1.0
34600.156848818064,29217.29141998291,0.0,1.0
34620.75999942422,29233.161743164062,0.0,1.0
34624.42556530237,29235.984504699707,0.0,1.0
34611.6339379251,29226.131275177002,0.0,1.0
34594.45684570074,29212.900131225586,0.0,1.0
34661.75845217705,29264.742305755615,0.0,1.0
34645.83808606863,29252.4775390625,0.0,1.0
34620.92655348778,29233.28657913208,0.0,1.0
34694.77469819784,29290.17800140381,0.0,1.0
34483.34188514948,29039.18574142456,0.0,1.0
34648.21251383424,29254.310424804688,0.0,1.0
34676.73180013895,29276.278617858887,0.0,1.0
34677.795819073915,29277.096660614014,0.0,1.0
34671.34976387024,29272.12965774536,0.0,1.0
34632.400889635086,29242.12790298462,0.0,1.0
34601.12451416254,29218.034561157227,0.0,1.0
34657.852002322674,29261.735961914062,0.0,1.0
34648.63096371293,29254.63059234619,0.0,1.0
34658.06398022175,29261.89898300171,0.0,1.0
34653.63171505928,29258.484352111816,0.0,1.0
34651.20911049843,29256.616218566895,0.0,1.0
34680.97135812044,29279.540508270264,0.0,1.0
34671.05519717932,29271.902015686035,0.0,1.0
34677.98164385557,29277.240589141846,0.0,1.0
34641.964671730995,29249.49616241455,0.0,1.0
34652.888415932655,29257.910106658936,0.0,1.0
34665.06062737107,29267.28602218628,0.0,1.0
34395.81153059006,29655.324676513672,0.0,1.0
34518.75182965398,29154.57382965088,0.0,1.0
34658.256687402725,29262.045848846436,0.0,1.0
34650.81543725729,29256.31220626831,0.0,1.0
34629.664447665215,29240.02184677124,0.0,1.0
34595.961338192225,29214.05890274048,0.0,1.0
34482.628868579865,29088.864582061768,2606109.6540988386,1.0
34603.09288036823,29219.551685333252,2728375.500002742,1.0
34670.77990120649,29271.693466186523,2731972.172652185,1.0
34665.56441900134,29267.675216674805,2746169.8165837526,1.0
34620.86598837376,29233.241050720215,2746879.8526157737,1.0
34630.305887281895,29240.513847351074,2746892.3303794563,1.0
34595.193262428045,29213.46262741089,2753840.051754892,1.0
34607.12458989024,29222.65642929077,2755456.1785441935,1.0
34634.43395039439,29243.693492889404,2756393.0363900065,1.0
34598.71567440033,29216.176708221436,2756622.422127843,1.0
34627.62863394618,29238.451850891113,2756724.1244482696,1.0
34644.36800557375,29251.34520339966,2756835.911536604,1.0
34698.477429032326,29293.027198791504,2757012.9932239354,1.0
34624.06355109811,29235.705459594727,2758005.060900837,1.0
34722.923711419106,29302.253311157227,2758258.5475246906,1.0
34672.28301721811,29272.84930038452,2758336.661743909,1.0
34632.36647763848,29242.102935791016,2758411.357397735,1.0
34682.05327129364,29280.377643585205,2758923.1166369915,1.0
34619.88455823064,29232.48616027832,2758995.9320798516,1.0
34622.111702650785,29234.203022003174,2759273.177733183,1.0
34644.760302335024,29251.649215698242,2759667.6801794767,1.0
34646.66259750724,29253.11640548706,2759684.0892933607,1.0
34693.81804469228,29289.44073486328,2759832.1131748557,1.0
34642.57995823026,29249.970539093018,2760194.8229629993,1.0
34623.123415350914,29234.981410980225,2760250.545578897,1.0
34599.9407414794,29217.122524261475,2760352.4188275933,1.0
34682.36435574293,29280.61703491211,2760595.9916118085,1.0
34627.4015147686,29238.27561187744,2760934.4295856655,1.0
34652.26074111462,29257.426918029785,2761156.1235513687,1.0
34614.31669718027,29228.199146270752,2761624.9797949493,1.0
34599.64204534888,29216.891944885254,2761668.395575434,1.0
34663.62771183252,29266.18452835083,2762072.9827896357,1.0
34629.16065603495,29239.632652282715,2762568.6747715473,1.0
34693.97633987665,29289.562633514404,2762863.6969649196,1.0
34631.391929894686,29241.352451324463,2762933.4356989264,1.0
34585.02520567179,29205.63027191162,2763091.3734200597,1.0
34640.41613188386,29248.30361175537,2763108.637175292,1.0
34648.16708999872,29254.273708343506,2763379.900339186,1.0
34670.87900775671,29271.768367767334,2763390.497891903,1.0
34570.16335257888,29194.18061065674,2763666.7179756165,1.0
34670.1274497509,29271.18971633911,2763708.9372582138,1.0
34614.62915810943,29228.43706893921,2763798.8455280364,1.0
34623.921773672104,29235.59677886963,2763800.383882463,1.0
34647.64127469063,29253.866889953613,2763877.814388603,1.0
34677.643029809,29276.977699279785,2763951.99725762,1.0
34643.43062278628,29250.622623443604,2764185.8271304667,1.0
