x,y,pen_status
24328.928,11663.782,0.27002907
24648.57,11828.361,0.27213633
24115.76,11512.636,0.26961094
24020.027,11731.978,0.2696184
24131.846,11035.085,0.26937658
24171.467,11552.248,0.27190822
24077.31,11814.828,0.27098304
24329.121,11401.76,0.27047276
24346.658,11147.591,0.26961285
24671.21,11771.716,0.2723915
23856.06,11255.03,0.2718764
24279.875,11771.72,0.26920342
24064.928,11072.408,0.2702506
24565.975,10841.376,0.27123454
24608.24,11641.339,0.27474862
24354.146,12047.023,0.26984265
23884.201,11889.512,0.27290106
24742.176,11426.405,0.2823631
24006.201,11808.937,0.27825764
23731.61,11301.907,0.2692233
23946.102,11522.524,0.269615
23860.426,12204.295,0.26907346
23938.492,11648.01,0.26971048
24710.246,11627.363,0.2939836
23976.248,11221.965,0.26942924
23934.717,11416.245,0.2695864
23965.957,11606.429,0.2696164
24278.006,11415.36,0.26905182
23547.652,11197.065,0.2694783
24612.867,11867.133,0.27052087
23997.65,11480.819,0.26942673
24067.814,11533.601,0.269086
24186.947,11495.009,0.26949632
24111.87,11577.855,0.27201766
24165.006,11720.0205,0.2689468
24361.629,11525.016,0.27302623
24338.232,11723.416,0.26914734
24460.377,11774.56,0.27963945
23856.787,11433.12,0.26940316
23933.27,11480.776,0.26905504
24264.48,11415.984,0.27671105
23606.123,11740.937,0.26927194
24361.158,11332.849,0.2713207
23905.795,11257.6,0.26917952
24600.6,11754.547,0.2746806
24464.328,11570.294,0.27023667
24124.42,11919.252,0.2699149
23859.574,11387.037,0.2691476
24033.832,11390.792,0.27158937
24521.76,11097.447,0.2856139
24359.27,11257.667,0.27153197
24941.453,12163.212,0.27288803
24422.182,11706.332,0.26960456
24235.844,11722.854,0.2698652
24477.396,11663.266,0.2706031
23982.492,11489.352,0.2701105
24679.22,11566.781,0.36285245
24393.932,11215.976,0.26959017
23964.154,11500.472,0.27175257
23835.31,11507.365,0.2691702
24253.062,11590.906,0.27011618
24358.404,11675.674,0.27067953
24151.703,11183.224,0.27006733
23599.16,11161.175,0.26992223
24265.438,11179.214,0.27000248
24396.148,11669.883,0.26935527
23925.469,11451.38,0.27094498
24223.52,11149.278,0.26930133
24455.588,11296.396,0.2772955
24063.691,11677.724,0.26919153
24384.266,11840.356,0.2864632
24004.082,12106.241,0.26962647
23700.22,11635.081,0.27012074
23821.352,11806.871,0.26902068
24733.648,11649.523,0.26927665
24569.719,11344.214,0.33636758
23987.426,11588.282,0.2690017
24178.723,11536.611,0.27118963
24618.285,11516.657,0.28208128
24051.621,11672.96,0.26896158
24120.652,12372.313,0.26896927
24868.592,11690.705,0.26911432
23461.738,11482.427,0.26904577
24022.52,11580.78,0.26918247
24171.033,11662.187,0.28002486
23904.117,11272.717,0.27001446
24363.121,11304.328,0.2718175
23673.814,11341.758,0.26903334
24392.959,11880.515,0.27449533
23905.367,11067.267,0.27020144
24110.277,11124.166,0.27837178
24569.621,11385.948,0.27008465
23970.0,11773.419,0.26908216
24018.814,11534.373,0.2707743
24278.281,12021.317,0.2701014
24410.861,11636.135,0.26936856
24323.062,11350.145,0.26911604
24258.15,11737.576,0.270122
23726.053,11367.246,0.2692749
24308.697,11154.066,0.27081478
24798.115,11676.112,0.27292544
24722.52,12582.8,0.27205655
24179.639,11706.193,0.27916932
24574.484,11042.842,0.27190757
24189.781,11170.441,0.2697412
24501.31,11618.588,0.2702374
24167.059,12257.601,0.27265802
24023.963,11344.349,0.2749414
24058.111,11667.91,0.27078998
24047.248,11666.734,0.26963338
24236.477,11330.695,0.26903448
24294.154,11156.68,0.2695622
24071.61,12039.594,0.2691507
24115.842,11724.991,0.26962802
24548.775,11662.811,0.269491
24615.582,11030.781,0.26968527
24505.793,11938.264,0.27758217
24582.664,11980.043,0.2694031
24563.268,11578.343,0.28448895
24156.914,11547.412,0.27027082
24115.43,11398.831,0.27269086
24353.047,11736.185,0.27835146
24410.602,11328.937,0.276386
24309.303,12000.45,0.26925465
24022.559,11187.536,0.2690079
24023.352,11794.396,0.26934677
24242.83,12062.921,0.26946568
24188.592,11845.616,0.26918665
24707.125,11342.939,0.28961846
23939.182,11504.57,0.26931757
24463.521,11698.643,0.27099368
25086.793,11987.622,0.27727947
24409.363,11443.691,0.30146798
24538.48,11885.323,0.26962772
