x,y,pen_status
21875.72985099256,11783.375369296524,0.27147504687309265
22127.919998034835,11126.495686069129,0.2956719994544983
22440.969239596277,12675.84254260361,0.2704757750034332
20917.17874482274,11743.783886411225,0.2698817551136017
21445.803314119577,11597.783486606551,0.27122029662132263
20617.134689062834,10889.898632369934,0.26911500096321106
21526.527447402477,11633.064020359887,0.26970914006233215
22187.74077925086,10505.507646277545,0.2947165369987488
21819.35064998269,11903.700059726832,0.26906701922416687
21760.11478319764,12195.497240286319,0.27003392577171326
21538.9988784492,11491.802009370176,0.30349022150039673
21056.905175238848,11147.615332230924,0.2698168456554413
22361.35648971051,11808.67886614939,0.26989009976387024
22073.241568893194,11925.221796927972,0.2744116187095642
20949.441207289696,11373.118643354623,0.283501535654068
21838.76805484295,11276.720808122305,0.27077406644821167
21318.753731548786,11385.854985583572,0.2714522182941437
22520.333335418254,11865.214927620253,0.27048933506011963
20899.494791775942,11573.628986107184,0.26920560002326965
21808.681567430496,11909.725222019477,0.27073726058006287
20854.37142688036,12076.561819203196,0.26896846294403076
21077.385173469782,11477.26637554541,0.2695353925228119
22299.984259925783,11479.814556043593,0.26913556456565857
21766.770103558898,11504.145766694097,0.3139719069004059
21838.32659263909,11635.424676850436,0.27213090658187866
22038.436578392982,11375.970014210789,0.28254765272140503
22228.091846473515,11836.36986237671,0.27664703130722046
21208.881775081158,12185.541350133715,0.2691655158996582
21462.136000946164,12053.571593821047,0.2695133090019226
21532.50830179453,10703.747531838713,0.26966506242752075
21538.303403943777,11328.205126233397,0.27158322930336
21720.773858740926,11741.365394649793,0.277654767036438
22734.057524632663,12631.435315154491,0.26925531029701233
21872.946821197867,11498.98180652037,0.27093881368637085
21315.566234380007,10393.677817493675,0.2690054476261139
22677.978455673903,10890.15950617939,0.27609121799468994
21892.577353060246,12161.220299478618,0.26953694224357605
21284.32958266139,11255.651861343531,0.27037718892097473
22013.804953873158,11509.152900800107,0.2704819440841675
20450.361430555582,11384.037821784614,0.2697194218635559
21030.09403887391,11923.663612417875,0.2694653272628784
20314.197114169598,12218.696432966737,0.26925888657569885
22107.74854941666,11533.837095845489,0.2695019543170929
20768.182527691126,12012.773109558968,0.26972413063049316
21143.755595743656,11100.862654753028,0.2691294550895691
21669.170810505748,11515.628338664768,0.2697855532169342
21499.147170692682,11055.933344371615,0.2692241072654724
21704.413584947586,11421.569850757716,0.2936680316925049
21468.366482019424,12043.631195146589,0.2692280113697052
21246.270320385695,11043.565310359,0.2691653072834015
